title,release,metascore,userscore
32,The Mayor: Season 1,"October 3, 2017",72,The Mayor: Season 1
33,Night Stalker: The Hunt for a Serial Killer,"January 13, 2021",72,Night Stalker: The Hunt for a Serial Killer
34,Warehouse 13: Season 2,"July 6, 2010",72,Warehouse 13: Season 2
35,Cobra Kai: Season 1,"May 2, 2018",72,Cobra Kai: Season 1
36,Will & Grace (2017): Season 1,"September 28, 2017",73,Will & Grace (2017): Season 1
37,Masters of Horror: Season 1,"October 28, 2005",73,Masters of Horror: Season 1
38,Tiger,"January 10, 2021",72,Tiger
39,Bad Vegan: Fame. Fraud. Fugitives.: Season 1,"March 16, 2022",72,Bad Vegan: Fame. Fraud. Fugitives.: Season 1
40,24: Season 7,"January 11, 2009",72,24: Season 7
41,Sleeper Cell: Season 2,"December 10, 2006",73,Sleeper Cell: Season 2
42,Under the Dome: Season 1,"June 24, 2013",72,Under the Dome: Season 1
43,Expecting Amy,"July 9, 2020",73,Expecting Amy
44,PRIDE,"May 14, 2021",72,PRIDE
45,Ripper Street: Season 1,"December 30, 2012",72,Ripper Street: Season 1
46,Ghosts (2021): Season 1,"October 7, 2021",72,Ghosts (2021): Season 1
47,Getting On (2013): Season 1,"November 24, 2013",73,Getting On (2013): Season 1
48,Bobby Kennedy for President,"April 27, 2018",72,Bobby Kennedy for President
49,Stateless: Season 1,"July 8, 2020",72,Stateless: Season 1
50,The Afterparty: Season 1,"January 28, 2022",72,The Afterparty: Season 1
51,Brexit,"January 19, 2019",73,Brexit
52,Teach: Tony Danza: Season 1,"October 1, 2010",72,Teach: Tony Danza: Season 1
53,Catch and Kill: The Podcast Tapes: Season 1,"July 12, 2021",72,Catch and Kill: The Podcast Tapes: Season 1
54,Downton Abbey: Season 4,"September 22, 2013",72,Downton Abbey: Season 4
55,Jericho: Season 2,"February 12, 2008",72,Jericho: Season 2
56,Stranger Things: Season 3,"July 4, 2019",72,Stranger Things: Season 3
57,Star Trek: Discovery: Season 1,"September 24, 2017",72,Star Trek: Discovery: Season 1
58,Black Mirror: Season 4,"December 29, 2017",72,Black Mirror: Season 4
59,Lois & Clark: The New Adventures of Superman: Season 1,"September 12, 1993",72,Lois & Clark: The New Adventures of Superman: Season 1
60,China Beach: Season 1,"April 26, 1988",73,China Beach: Season 1
61,Easy: Season 1,"September 22, 2016",72,Easy: Season 1
62,Archer: Season 8,"April 5, 2017",72,Archer: Season 8
63,The Divide: Season 1,"July 16, 2014",72,The Divide: Season 1
64,True Detective: Season 3,"January 13, 2019",72,True Detective: Season 3
65,Stumptown: Season 1,"September 25, 2019",73,Stumptown: Season 1
66,Lone Star: Season 1,"September 20, 2010",73,Lone Star: Season 1
67,The Last Panthers: Season 1,"November 12, 2015",73,The Last Panthers: Season 1
68,Sense8: Season 2,"December 23, 2016",73,Sense8: Season 2
69,Girls: Season 5,"February 21, 2016",73,Girls: Season 5
70,Yasuke: Season 1,"April 29, 2021",72,Yasuke: Season 1
71,Mad About You: Season 1,"September 23, 1992",72,Mad About You: Season 1
72,Obama: In Pursuit of a More Perfect Union: Season 1,"August 3, 2021",72,Obama: In Pursuit of a More Perfect Union: Season 1
73,Looking for Alaska: Season 1,"October 18, 2019",72,Looking for Alaska: Season 1
74,Marvel's Agent Carter: Season 1,"January 6, 2015",72,Marvel's Agent Carter: Season 1
75,Mythic Quest: Season 1,"February 7, 2020",73,Mythic Quest: Season 1
76,The Capture: Season 1,"September 3, 2019",72,The Capture: Season 1
77,Kingdom (2014): Season 1,"October 8, 2014",72,Kingdom (2014): Season 1
78,Futurama: Season 1,"March 28, 1999",72,Futurama: Season 1
79,Teenage Bounty Hunters: Season 1,"August 14, 2020",72,Teenage Bounty Hunters: Season 1
80,Hindsight: Season 1,"January 7, 2015",72,Hindsight: Season 1
81,Entourage: Season 3,"June 11, 2006",73,Entourage: Season 3
82,Solar Opposites: Season 1,"May 8, 2020",72,Solar Opposites: Season 1
83,The Sex Lives of College Girls: Season 1,"November 18, 2021",72,The Sex Lives of College Girls: Season 1
84,American Horror Story: Season 6,"September 14, 2016",72,American Horror Story: Season 6
85,24: Season 3,"October 28, 2003",72,24: Season 3
86,The Affair: Season 3,"November 20, 2016",72,The Affair: Season 3
87,Seduced and Abandoned,"October 28, 2013",72,Seduced and Abandoned
88,The Strain: Season 1,"July 13, 2014",72,The Strain: Season 1
89,The Wiz Live!,"December 3, 2015",73,The Wiz Live!
90,The Last Man on Earth: Season 1,"March 1, 2015",72,The Last Man on Earth: Season 1
91,Primeval: Season 1,"February 10, 2007",73,Primeval: Season 1
92,Archive 81: Season 1,"January 14, 2022",73,Archive 81: Season 1
93,Star Trek: Discovery: Season 2,"January 17, 2019",72,Star Trek: Discovery: Season 2
94,Outlander (2014): Season 1,"August 9, 2014",73,Outlander (2014): Season 1
95,Filth: The Mary Whitehouse Story,"May 28, 2008",72,Filth: The Mary Whitehouse Story
96,Top Of The Lake: Season 2,"July 27, 2017",73,Top Of The Lake: Season 2
97,Spielberg,"October 7, 2017",72,Spielberg
98,Deadwater Fell: Season 1,"January 10, 2020",73,Deadwater Fell: Season 1
99,Jonathan Strange & Mr. Norrell: Season 1,"May 17, 2015",73,Jonathan Strange & Mr. Norrell: Season 1
100,Ted Lasso: Season 1,"August 14, 2020",71,Ted Lasso: Season 1
101,The End of the F***ing World: Season 2,"November 4, 2019",71,The End of the F***ing World: Season 2
102,"You, Me and the Apocalypse: Season 1","September 30, 2015",71,"You, Me and the Apocalypse: Season 1"
103,Marvel's Jessica Jones: Season 2,"March 8, 2018",70,Marvel's Jessica Jones: Season 2
104,Bridgerton: Season 2,"March 25, 2022",70,Bridgerton: Season 2
105,Marvel's M.O.D.O.K.: Season 1,"May 21, 2021",71,Marvel's M.O.D.O.K.: Season 1
106,The Comeback: Season 2,"November 9, 2014",71,The Comeback: Season 2
107,Maron: Season 1,"May 3, 2013",71,Maron: Season 1
108,The Sinner: Season 1,"August 2, 2017",71,The Sinner: Season 1
109,Chuck: Season 3,"January 10, 2010",71,Chuck: Season 3
110,The White Queen: Season 1,"June 16, 2013",70,The White Queen: Season 1
111,Review: Season 1,"March 6, 2014",71,Review: Season 1
112,Sarah Cooper: Everything's Fine,"October 27, 2020",71,Sarah Cooper: Everything's Fine
113,FlashForward: Season 1,"September 24, 2009",71,FlashForward: Season 1
114,Ray Donovan: Season 3,"July 12, 2015",71,Ray Donovan: Season 3
115,American Horror Story: Season 3,"October 9, 2013",71,American Horror Story: Season 3
116,The House: Season 1,"January 14, 2022",71,The House: Season 1
117,The Adam Carolla Project: Season 8,"June 30, 2013",71,The Adam Carolla Project: Season 8
118,Godfather of Harlem: Season 1,"September 29, 2019",72,Godfather of Harlem: Season 1
119,Californication: Season 1,"August 13, 2007",70,Californication: Season 1
120,Designated Survivor: Season 1,"September 21, 2016",71,Designated Survivor: Season 1
121,The Mighty Ducks: Game Changers: Season 1,"March 26, 2021",72,The Mighty Ducks: Game Changers: Season 1
122,Downward Dog: Season 1,"May 17, 2017",71,Downward Dog: Season 1
123,Faking It (2014): Season 1,"April 22, 2014",71,Faking It (2014): Season 1
124,Looney Tunes Cartoons: Season 1,"May 27, 2020",71,Looney Tunes Cartoons: Season 1
125,Mr. Mercedes: Season 1,"August 9, 2017",71,Mr. Mercedes: Season 1
126,Wallander: Season 1,"November 30, 2008",71,Wallander: Season 1
127,The Great British Baking Show: Season 9,"September 25, 2020",71,The Great British Baking Show: Season 9
128,Homeland: Season 8,"February 9, 2020",71,Homeland: Season 8
129,Catch-22 (2019): Season 1,"May 17, 2019",70,Catch-22 (2019): Season 1
130,Hunted: Season 1,"October 4, 2012",70,Hunted: Season 1
131,The Kids Are Alright: Season 1,"October 16, 2018",71,The Kids Are Alright: Season 1
132,Life (2007): Season 2,"September 29, 2008",72,Life (2007): Season 2
133,"Live in Front of a Studio Audience: Norman Lear's ""All in the Family"" and ""The Jeffersons""","May 22, 2019",71,"Live in Front of a Studio Audience: Norman Lear's ""All in the Family"" and ""The Jeffersons"""
134,The Starter Wife: Season 1,"May 31, 2007",71,The Starter Wife: Season 1
135,The Escape Artist: Season 1,"October 29, 2013",71,The Escape Artist: Season 1
136,Caprica: Season 1,"January 22, 2010",71,Caprica: Season 1
137,Shrill: Season 2,"January 24, 2020",71,Shrill: Season 2
138,Dr. Brain: Season 1,"November 3, 2021",71,Dr. Brain: Season 1
139,Saved by the Bell (2020): Season 1,"November 25, 2020",71,Saved by the Bell (2020): Season 1
140,Legit: Season 1,"January 17, 2013",71,Legit: Season 1
141,Naomi: Season 1,"January 11, 2022",72,Naomi: Season 1
142,Tracey Ullman's State of the Union: Season 1,"March 30, 2008",70,Tracey Ullman's State of the Union: Season 1
143,Murphy Brown: Season 1,"November 14, 1988",71,Murphy Brown: Season 1
144,Ordeal By Innocence: Season 1,"April 1, 2018",71,Ordeal By Innocence: Season 1
145,The Young Indiana Jones Chronicles: Season 1,"March 4, 1992",71,The Young Indiana Jones Chronicles: Season 1
146,Rome: Season 1,"August 28, 2005",71,Rome: Season 1
147,Son of the Beach: Season 1,"March 14, 2000",71,Son of the Beach: Season 1
148,Suburgatory: Season 1,"September 28, 2011",71,Suburgatory: Season 1
149,Entourage: Season 5,"September 7, 2008",70,Entourage: Season 5
150,Manhunt (2017): Season 1,"August 1, 2017",71,Manhunt (2017): Season 1
151,Stanley Tucci: Searching for Italy: Season 1,"February 14, 2021",71,Stanley Tucci: Searching for Italy: Season 1
152,Spy City: Season 1,"April 15, 2021",72,Spy City: Season 1
153,Human Target: Season 2,"November 17, 2010",71,Human Target: Season 2
154,Get Shorty: Season 1,"August 13, 2017",71,Get Shorty: Season 1
155,Our Nixon,"August 1, 2013",71,Our Nixon
156,Don't Trust the B---- in Apartment 23: Season 1,"April 11, 2012",71,Don't Trust the B---- in Apartment 23: Season 1
157,Devs: Season 1,"March 5, 2020",71,Devs: Season 1
158,Mrs. Fletcher: Season 1,"October 27, 2019",72,Mrs. Fletcher: Season 1
159,To Walk Invisible: The Brontë Sisters,"March 26, 2017",71,To Walk Invisible: The Brontë Sisters
160,Bosch: Season 1,"February 7, 2014",71,Bosch: Season 1
161,Big Love: Season 2,"June 11, 2007",71,Big Love: Season 2
162,Generation Cryo: Season 1,"November 25, 2013",70,Generation Cryo: Season 1
163,The No. 1 Ladies' Detective Agency: Season 1,"March 29, 2009",71,The No. 1 Ladies' Detective Agency: Season 1
