,title,release,metascore
1280,Community: Season 1,"September 17, 2009",69
1281,What Would Diplo Do?: Season 1,"August 3, 2017",69
1282,His Dark Materials: Season 1,"November 3, 2019",69
1283,Star Trek: Picard: Season 2,"March 3, 2022",69
1284,Trollhunters: Season 1,"December 23, 2016",69
1285,Clear History,"August 10, 2013",69
1286,Rubicon: Season 1,"August 1, 2010",69
1287,Wolf Like Me: Season 1,"January 13, 2022",69
1288,Little Fires Everywhere: Season 1,"March 18, 2020",69
1289,The Spoils of Babylon: Season 1,"January 9, 2014",69
1290,Human Target: Season 1,"January 17, 2010",69
1291,O.G.,"February 23, 2019",69
1292,Public Morals: Season 1,"August 25, 2015",69
1293,The Mindy Project: Season 1,"September 25, 2012",69
1294,Taking on Tyson: Season 1,"March 6, 2011",69
1295,Southland: Season 1,"April 9, 2009",69
1296,Wanderlust (2018): Season 1,"October 19, 2018",69
1297,And the Band Played On: Season 1,"January 1, 1993",69
1298,Legendary: Season 1,"May 27, 2020",69
1299,Mildred Pierce: Season 1,"March 27, 2011",69
1300,Creature Comforts: Season 1,"June 4, 2007",69
1301,Paterno,"April 7, 2018",69
1302,The Fugitive: Season 1,"October 6, 2000",69
1303,The Fosters: Season 1,"June 3, 2013",69
1304,Boston Legal: Season 1,"October 3, 2004",69
1305,Cybill: Season 1,"January 2, 1995",69
1306,The Miniaturist,"September 9, 2018",69
1307,Orange is the New Black: Season 6,"July 27, 2018",69
1308,The Riches: Season 1,"March 12, 2007",69
1309,1883: Season 1,"December 19, 2021",69
1310,Squid Game: Season 1,"September 17, 2021",69
1311,The Jim Gaffigan Show: Season 1,"July 15, 2015",69
1312,Empire (2015): Season 1,"January 7, 2015",69
1313,American Horror Story: Season 4,"October 8, 2014",69
1314,Trying: Season 1,"May 1, 2020",69
1315,The Hot Zone: Season 1,"May 27, 2019",69
1316,Castle Rock (2018): Season 2,"October 23, 2019",69
1317,Life Unexpected: Season 1,"January 18, 2010",69
1318,Soul Food: Season 1,"July 5, 2000",69
1319,Girlfriends' Guide to Divorce: Season 1,"December 2, 2014",69
1320,How I Met Your Mother: Season 1,"September 19, 2005",69
1321,Emergence: Season 1,"September 24, 2019",69
1322,No Tomorrow: Season 1,"October 4, 2016",69
1323,A Wilderness of Error,"September 25, 2020",69
